name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description
"New York City,USA",2018-06-20T00:00:00Z,27.7,21.6,24.2,28.7,21.6,24.3,14.7,56.2,0,0,0,0,0,29.5,8.8,57.9,1011,32.9,16,268.7,23.1,9,2018-06-20T03:24:51Z,2018-06-20T18:30:26Z,0.25,Partially cloudy,Becoming cloudy in the afternoon.
"New York City,USA",2018-06-21T00:00:00Z,29.9,18.9,24,29.2,18.9,23.9,17,69.1,5.532,100,45.83,0,0,13,13,49.3,1008.4,55.2,15,284.3,24.6,9,2018-06-21T03:25:03Z,2018-06-21T18:30:39Z,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-06-22T00:00:00Z,23.8,19.4,21.2,23.8,19.4,21.2,16.5,75.3,0,0,0,0,0,27.7,14.9,85.1,1015.2,49.2,15.9,197.4,17.1,6,2018-06-22T03:25:17Z,2018-06-22T18:30:50Z,0.31,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-06-23T00:00:00Z,19.9,17.8,18.8,19.9,17.8,18.8,15.1,79.4,0.602,100,12.5,0,0,31.7,18.2,63,1011.9,100,15.9,76.8,6.4,2,2018-06-23T03:25:33Z,2018-06-23T18:30:59Z,0.34,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.
"New York City,USA",2018-06-24T00:00:00Z,28.7,19.3,23.6,30.2,19.3,24.2,18.9,76.6,0.003,100,4.17,0,0,38.9,10.5,212.4,1009.8,73.1,14.9,221.7,19.2,9,2018-06-24T03:25:50Z,2018-06-24T18:31:06Z,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
"New York City,USA",2018-06-25T00:00:00Z,28.7,20.6,24.3,27.7,20.6,24.1,13.8,55.6,0.464,100,8.33,0,0,44.6,18.2,348.8,1016.2,27.2,16,305.6,26.5,10,2018-06-25T03:26:10Z,2018-06-25T18:31:12Z,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
"New York City,USA",2018-06-26T00:00:00Z,25,18.7,21.8,25,18.7,21.8,13.9,61.6,0,0,0,0,0,37.1,24.1,112.8,1023.8,5.1,16,315.5,27.3,9,2018-06-26T03:26:31Z,2018-06-26T18:31:15Z,0.45,Clear,Clear conditions throughout the day.
"New York City,USA",2018-06-27T00:00:00Z,23.3,18.9,21.1,23.3,18.9,21.1,16.4,74.7,0.031,100,8.33,0,0,44.6,31.7,178.5,1018.4,75,15.9,84.9,7.3,3,2018-06-27T03:26:53Z,2018-06-27T18:31:16Z,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
"New York City,USA",2018-06-28T00:00:00Z,28.8,21.1,24,31.5,21.1,24.6,21.3,85.3,5.642,100,45.83,0,0,35.3,13.7,204.4,1009.6,75.4,15.2,185,16,7,2018-06-28T03:27:17Z,2018-06-28T18:31:15Z,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-06-29T00:00:00Z,33.7,22.8,27.7,33.8,22.8,27.9,17.8,57.8,0.704,100,8.33,0,0,31.7,18.4,318.6,1014,3.6,16,321.8,27.6,9,2018-06-29T03:27:43Z,2018-06-29T18:31:12Z,0.55,Rain,Clear conditions throughout the day with afternoon rain.
"New York City,USA",2018-06-30T00:00:00Z,34.3,23.4,28.7,35.6,23.4,29.2,17.1,50.6,0,0,0,0,0,29.5,12,270,1017.1,0.7,15.9,317.6,27.3,9,2018-06-30T03:28:11Z,2018-06-30T18:31:08Z,0.58,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-01T00:00:00Z,35.6,24,29.8,39.9,24,31.9,20.9,60.4,0,0,0,0,0,12.6,12.6,243.9,1016.5,0.5,15.9,271.1,23.4,9,2018-07-01T03:28:39Z,2018-07-01T18:31:01Z,0.62,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-02T00:00:00Z,34.4,25.7,29.2,38.4,25.7,31.3,21.4,63.9,0.262,100,4.17,0,0,38.9,22.3,154.8,1017.8,0.4,15.7,310.8,26.8,9,2018-07-02T03:29:10Z,2018-07-02T18:30:52Z,0.65,Rain,Clear conditions throughout the day with late afternoon rain.
"New York City,USA",2018-07-03T00:00:00Z,32.9,25.1,27.1,40.4,25.1,29.1,23.6,81.3,0.172,100,8.33,0,0,14.8,14.8,113.7,1021.4,12.9,15,162.5,14.1,8,2018-07-03T03:29:42Z,2018-07-03T18:30:41Z,0.68,Rain,Clear conditions throughout the day with rain.
"New York City,USA",2018-07-04T00:00:00Z,30.5,24.4,26.8,34,24.4,28.1,22.5,78.4,0,0,0,0,0,9.5,9.5,76.8,1025.5,17,15.6,198.5,16.9,9,2018-07-04T03:30:15Z,2018-07-04T18:30:28Z,0.72,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-05T00:00:00Z,31.2,23.9,27.4,35.6,23.9,29.6,23,77.9,0,0,0,0,0,44.6,25.9,204.9,1024.9,31.4,16,255.1,22,8,2018-07-05T03:30:50Z,2018-07-05T18:30:13Z,0.75,Partially cloudy,Clearing in the afternoon.
"New York City,USA",2018-07-06T00:00:00Z,27.8,23.3,25.6,29,23.3,25.9,20.8,76.8,3.118,100,25,0,0,35.3,22.3,264.1,1018.3,58.9,15.4,98.4,8.4,3,2018-07-06T03:31:26Z,2018-07-06T18:29:56Z,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
"New York City,USA",2018-07-07T00:00:00Z,25.6,18.8,21.6,25.6,18.8,21.6,10.8,50.7,0,0,0,0,0,37.1,25.9,53.5,1026.4,0.3,16,331.3,28.6,10,2018-07-07T03:32:03Z,2018-07-07T18:29:38Z,0.82,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-08T00:00:00Z,28.3,18.8,22.9,28,18.8,22.8,12.8,54.2,0,0,0,0,0,29.5,18.4,160.5,1027.4,0.3,16,325.2,27.8,10,2018-07-08T03:32:42Z,2018-07-08T18:29:17Z,0.85,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-09T00:00:00Z,30.6,20,24.8,30.4,20,24.8,15.1,55.8,0,0,0,0,0,44.6,14.1,224.7,1022.2,0.2,15.8,319.2,27.4,9,2018-07-09T03:33:22Z,2018-07-09T18:28:54Z,0.88,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-10T00:00:00Z,33.3,21.7,27.4,33.8,21.7,27.8,17.1,55.3,0,0,0,0,0,29.5,16.9,257.5,1013.7,0.4,15.8,314.8,27.1,9,2018-07-10T03:34:03Z,2018-07-10T18:28:29Z,0.92,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-11T00:00:00Z,31.1,23.4,26.5,32.1,23.4,27.1,18.8,63.5,0,0,0,0,0,27.7,20.5,49.4,1013.6,52.6,16,258.5,22.4,9,2018-07-11T03:34:45Z,2018-07-11T18:28:02Z,0.95,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-07-12T00:00:00Z,29.9,21.5,24.7,29.4,21.5,24.6,15.9,60.6,0.969,100,12.5,0,0,20.5,20.5,36.8,1021.5,45.4,15.9,227.8,19.7,10,2018-07-12T03:35:28Z,2018-07-12T18:27:33Z,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
